value,is_slotted,id,sku,slug,color,category,image_url,product_type,release_date,release_date_year,variation_id,box_condition,used_image_url,cheapest_product,product_condition,count_for_product_condition,goat_url
Zoom Kobe 6 GS 'All Star - Orange County',False,24766,429913 800,kobe-6-gs-429913-800,orange,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/000/033/021/original/429913_800.png.png,sneakers,,,78e752d7-5397-411b-9980-9d04c205f61f,no_original_box,,,new_no_defects,0,https://www.goat.com/sneakers/kobe-6-gs-429913-800
Kobe 8 System Elite+ 'Away',False,13163,603269 100,kobe-8-system-elite-away-603269-100,black,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/000/016/981/original/603269_100.png.png,sneakers,20130601,2013,1fc39cf0-b1e4-4cf5-99e8-1896f65c3b47,good_condition,,,new_no_defects,0,https://www.goat.com/sneakers/kobe-8-system-elite-away-603269-100
Zoom Kobe 6 'Barcelona',False,25543,429659 800,kobe-6-barcelona-429659-800,orange,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/002/013/147/original/429659_800.png,sneakers,20110101,2011,98c7ce55-acd3-4519-affd-a47679993b1c,good_condition,,,new_no_defects,0,https://www.goat.com/sneakers/kobe-6-barcelona-429659-800
Kobe 9 Em Premium 'Philippines',False,13013,669630 604,kobe-9-em-premium-philippines-669630-604,red,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/054/912/127/original/13013_00.png.png,sneakers,20140523,2014,40303a75-5142-41e5-9d5e-c28ef7d47643,good_condition,,,new_no_defects,0,https://www.goat.com/sneakers/kobe-9-em-premium-philippines-669630-604
Wmns Kobe 11 Elite Low iD,False,939424,843385 XXX,wmns-kobe-11-elite-low-id-843385-xxx,multi-color,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/071/903/957/original/843385_XXX.png.png,sneakers,,,5f2942c7-2e26-4583-9d9e-b2a080ada275,no_original_box,https://image.goat.com/attachments/product_outer_pictures/images/073/722/485/square/temp1655222674.jpeg?1655222674,"{""picture_url"":""https://image.goat.com/attachments/product_outer_pictures/images/073/722/485/square/temp1655222674.jpeg?1655222674""}",used,1,https://www.goat.com/sneakers/wmns-kobe-11-elite-low-id-843385-xxx
Zoom Kobe 4 Protro 'Snakeskin',False,555126,AV6339 002,zoom-kobe-4-protro-snakeskin-av6339-002,black,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/079/499/640/original/555126_00.png.png,sneakers,20191102,2019,829f11a7-2e44-44b3-87b6-ab7fb955e59e,good_condition,,,new_no_defects,0,https://www.goat.com/sneakers/zoom-kobe-4-protro-snakeskin-av6339-002
Kobe 10 GS 'Lower Merion',False,493218,726067 600,kobe-10-gs-lower-merion-726067-600,red,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/018/489/096/original/726067_600.png.png,sneakers,20150727,2015,2ab8244d-1b74-46a4-b564-bf5878ce8983,no_original_box,https://image.goat.com/attachments/product_outer_pictures/images/054/064/312/square/temp1619975948.jpeg?1619975949,"{""picture_url"":""https://image.goat.com/attachments/product_outer_pictures/images/054/064/312/square/temp1619975948.jpeg?1619975949""}",used,4,https://www.goat.com/sneakers/kobe-10-gs-lower-merion-726067-600
Kobe 10 Elite Low 'Christmas',False,31486,802560 076,kobe-10-elite-low-christmas-802560-076,black,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/078/135/468/original/31486_00.png.png,sneakers,20151226,2015,7667f203-9bef-4402-a2ac-81a804571deb,good_condition,,,new_no_defects,0,https://www.goat.com/sneakers/kobe-10-elite-low-christmas-802560-076
Kobe 11 'Draft Day',False,51875,836183 154,kobe-11-draft-day-836183-154,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/079/742/025/original/51875_00.png.png,sneakers,20160428,2016,dc3e9498-f27c-450c-9d9e-6c052a06d192,good_condition,,,new_no_defects,0,https://www.goat.com/sneakers/kobe-11-draft-day-836183-154
Kobe A.D. TB Promo 'Coast',False,571500,AT3874 400,kobe-a-d-tb-promo-coast-at3874-400,blue,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/029/375/396/original/AT3874_400.png.png,sneakers,,,7791fcf0-b6d3-49ea-aab9-ab5b142348e2,no_original_box,,,new_no_defects,0,https://www.goat.com/sneakers/kobe-a-d-tb-promo-coast-at3874-400
Kobe 10 Elite Premium HTM 'Oreo',False,39868,805937 010,nikelab-kobe-x-elite-low-htm-805937-010,black,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/078/722/960/original/39868_00.png.png,sneakers,20160107,2016,06531e30-94e1-4b50-bd36-eac9cfb3bdc1,good_condition,,,new_no_defects,0,https://www.goat.com/sneakers/nikelab-kobe-x-elite-low-htm-805937-010
Kobe 9 EM 'Pop Art',False,28396,646701 508,kobe-9-pop-art,multi-color,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/058/946/617/original/28396_00.png.png,sneakers,20140517,2014,286e8989-8ef9-4d28-b06f-c353c1c864eb,good_condition,,,new_no_defects,0,https://www.goat.com/sneakers/kobe-9-pop-art
Kobe 8 System 'Blitz Blue',False,25927,555035 401,kobe-8-system-555035-401,blue,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/000/036/538/original/555035_401.png.png,sneakers,20130629,2013,815bb4e1-5510-4bca-ba6c-864b0a8f17f5,good_condition,,,new_no_defects,0,https://www.goat.com/sneakers/kobe-8-system-555035-401
