@context,@type,name,image,releaseDate,brand,model,sku,color,description,goat_url
http://schema.org,Product,Kobe 9 EM 'Hyper Cobalt',['https://image.goat.com/750/attachments/product_template_pictures/images/053/871/183/original/28791_00.png.png'],2014-07-25T23:59:59.999Z,Nike,Kobe 9 EM 'Hyper Cobalt',646701 414,Hyper Cobalt/White-Photo Blue-Action Red,"The ‘Hyper Cobalt’ edition of the Kobe 9 decks out Kobe Bryant’s ninth signature sneaker in a geometric design consisting of checks, triangles and polka dots. The gradient graphic darkens toward the rear of the shoe, where a leather heel panel, complete with Kobe branding, adds a solid bit of color blocking. Performance features can be found in the one-piece Engineered Mesh upper and semi-exposed mint green Flywire cables.",https://www.goat.com/sneakers/kobe-9-cobalt
http://schema.org,Product,The Kobe 2 'White',['https://image.goat.com/750/attachments/product_template_pictures/images/000/024/033/original/677393_10.png.png'],,adidas,The Kobe 2 'White',677393 10,White/Silver/Black/Grey,,https://www.goat.com/sneakers/kobe-adidas
http://schema.org,N/A,N/A,['N/A'],N/A,N/A,N/A,N/A,N/A,Shop Kobe 8 System 'Philippines Pack - Game Royal' on GOAT. Authenticity Assured.,https://www.goat.com/sneakers/kobe-8-system-pp-613959-004
http://schema.org,N/A,N/A,['N/A'],N/A,N/A,N/A,N/A,N/A,Shop Zoom Kobe 6 TD 'Concord' on GOAT. Authenticity Assured.,https://www.goat.com/sneakers/zoom-kobe-6-td-concord-429912-100
http://schema.org,N/A,N/A,['N/A'],N/A,N/A,N/A,N/A,N/A,Shop Zoom Kobe 5 'Black Out' on GOAT. Authenticity Assured.,https://www.goat.com/sneakers/zoom-kobe-5-black-out-386429-003
http://schema.org,N/A,N/A,['N/A'],N/A,N/A,N/A,N/A,N/A,"The Zoom Kobe 6 debuted this royal blue colorway, unofficially known as ‘Duke,’ in February 2011. In a color scheme reminiscent of the Blue Devils jersey, the design is a nod to what would have been his alma mater if he went to college instead of the NBA directly. It features a snake-textured polyurethane upper with black accents across the tongue, lacing, and heel atop a white Zoom cushioned midsole and blue outsole.",https://www.goat.com/sneakers/zoom-kobe-6-duke-429659-400
http://schema.org,Product,Zoom Kobe 6 'Grinch',['https://image.goat.com/750/attachments/product_template_pictures/images/079/019/491/original/13353_00.png.png'],2010-12-25T23:59:59.999Z,Nike,Zoom Kobe 6 'Grinch',429659 701,Lime Green/Varsity Red-Black,"The Nike Zoom Kobe 6 ‘Grinch’ launched Christmas Day in 2010, featuring a Green Apple colorway that calls to mind to the Dr. Seuss character with a penchant for ruining everyone’s famous December holiday. However the real inspiration behind this colorway is the deadly Green Mamba snake, with green scales and deep black eyes which can be seen on the scaly Mamba-inspired texture on the upper, with a contrasting black Swoosh. Red accents tie together the Christmas theme, highlighted with Kobe Bryant’s logo in red atop the tongue.",https://www.goat.com/sneakers/zoom-kobe-6-grinch-429659-701
http://schema.org,Product,Zoom Kobe 4 Protro 'Wizenard',['https://image.goat.com/750/attachments/product_template_pictures/images/079/596/097/original/555414_00.png.png'],2019-12-06T23:59:59.999Z,Nike,Zoom Kobe 4 Protro 'Wizenard',CV3469 001,,"Anticipating the NBA marquee matchups that define the holiday season, Nike released the Zoom Kobe 4 Protro 'Wizenard' in December 2019. The multi-colored vibe is inspired by the book cover of 'The Wizenard Series - Training Camp,' created by Kobe Bryant. A tumbled-leather tongue and matte black heel cap lend a refined look. Performance benefits stay intact from the original shoe created by Eric Avar, including Flywire, Lunarlon foam and Zoom Air cushioning.",https://www.goat.com/sneakers/zoom-kobe-4-protro-wizenard-cv3469-001
http://schema.org,Product,Zoom Kobe 6 'All Star',['https://image.goat.com/750/attachments/product_template_pictures/images/080/159/758/original/24682_00.png.png'],2011-02-17T23:59:59.999Z,Nike,Zoom Kobe 6 'All Star',448693 600,Challenge Red/White/Black,"In conjunction with Nike’s LA All-Star Pack from 2011, the Zoom Kobe 6 All-Star iteration features a red and black color scheme to pay tribute to the West’s signature team colors. The shoe is equipped with the classic snakeskin texture throughout the upper, paying tribute to Kobe’s nickname, ‘Black Mamba.’ The shoe’s dual-layer memory foam sock-liner creates a personalized fit, while the Flywire construction provides support.",https://www.goat.com/sneakers/zoom-kobe-6-all-star-all-star-448693-600
http://schema.org,N/A,N/A,['N/A'],N/A,N/A,N/A,N/A,N/A,"Constructed with a technical Engineered Mesh upper to create a seamless fit, the Kobe 9 also implements Flywire cables for forefoot stability. Resting on a Lunarlon cushioning system, the shoe also incorporates a pressure mapped footprint design on the outsole for traction. The Deep Garnett finish up top is complemented by Hyper Crimson underfoot.",https://www.goat.com/sneakers/kobe-9
http://schema.org,Product,Crazy 1 Kobe 'Stormtrooper' 2022,['https://image.goat.com/750/attachments/product_template_pictures/images/076/144/687/original/900685_00.png.png'],2022-12-17T23:59:59.999Z,adidas,Crazy 1 Kobe 'Stormtrooper' 2022,GY3810,White/Core Black,"The adidas Crazy 1 ‘Stormtrooper’ brings back an OG colorway of the hoops shoe originally dubbed the Kobe 1, worn by Kobe Bryant during the 2000 – 2001 NBA season. The unconventional design features a molded synthetic upper in a crisp white finish, marked with debossed three-stripes on the quarter panel and contrasted by black mesh on the tongue and collar. The sneaker rides on a matching white EVA midsole, supported underfoot by a midfoot shank and herringbone-traction rubber outsole.",https://www.goat.com/sneakers/crazy-1-kobe-stormtrooper-gy3810
http://schema.org,Product,Undefeated x Zoom Kobe 5 Protro 'What If Pack - Unlucky 13',['https://image.goat.com/750/attachments/product_template_pictures/images/049/059/125/original/672347_00.png.png'],2020-08-27T23:59:59.999Z,Nike,Undefeated x Zoom Kobe 5 Protro 'What If Pack - Unlucky 13',DB4796 100,White/Metallic Gold/Rapid Teal,"Made in collaboration with the LA-based retailer, the Undefeated x Nike Zoom Kobe 5 Protro ‘Unlucky 13’ is taken from the two-piece ‘What If Pack,’ inspired by the circumstances surrounding Kobe Bryant’s selection and subsequent trade in the 1996 NBA draft. This pair features a white and teal color scheme that gives the nod to the Charlotte Hornets, the team that drafted Bryant with the 13th overall pick. Metallic gold Swooshes celebrate the Black Mamba's five championships.",https://www.goat.com/sneakers/undefeated-x-zoom-kobe-5-protro-what-if-pack-u13-db4796-100
http://schema.org,Product,Kobe A.D. NXT 360 'White Multicolor',['https://image.goat.com/750/attachments/product_template_pictures/images/079/019/004/original/416710_00.png.png'],2018-08-01T23:59:59.999Z,Nike,Kobe A.D. NXT 360 'White Multicolor',AQ1087 102,White/White-Multi-Color,"Released about two years after Kobe Bryant’s retirement from the NBA, the Black Mamba is still trying to get his signature sneaker to have maximum performance output for players that wear his Kobe line. The Kobe A.D. NXT 360 features a 360-degree white Flyknit upper with multicolor accents around the collar and a translucent orange heel. The sneaker also boasts a dual-density foam midsole with Nike React technology and Lunarlon underfoot. A Kobe-inspired pattern adorns the Emerald Green outsole.",https://www.goat.com/sneakers/kobe-a-d-nxt-360-aq1087-102
http://schema.org,N/A,N/A,['N/A'],N/A,N/A,N/A,N/A,N/A,"Nike released a colorway inspired by the ancient Silk Road trade route between the East and the West. The Kobe 9 'Silk' arrives with an Engineered Mesh upper with patterns throughout that reference the Dunhuang murals in North Western China. The sneaker also boasts a golden Swoosh on the sidewall, a snake-like pattern on the mudguard and heel, and Merlot details on the tongue, heel, and laces.",https://www.goat.com/sneakers/kobe-9-men-s-basketball-shoe-646701-676
http://schema.org,Product,Kobe 10 Elite 'Rose Gold',['https://image.goat.com/750/attachments/product_template_pictures/images/043/945/830/original/28645_00.png.png'],2015-06-05T23:59:59.999Z,Nike,Kobe 10 Elite 'Rose Gold',718763 091,Black/White/Hot Lava/Metallic Red Bronze,"The Nike Kobe 10 Elite unites three advanced technologies in a sophisticated, mid-top profile representative of Bryant's alter ego, Black Mamba. Launched in June 2015, this 'Rose Gold' variant supplies full-length support through an engineered mesh bootie and Flywire cables integrated into the laces. The legend's logo is cut into the tongue, with metallic Swooshes located on the sides. A translucent outsole encases the Lunarlon midsole.",https://www.goat.com/sneakers/kobe-10-rose
http://schema.org,Product,Kobe 11 'Mambacurial',['https://image.goat.com/750/attachments/product_template_pictures/images/079/967/730/original/68218_00.png.png'],2016-09-15T23:59:59.999Z,Nike,Kobe 11 'Mambacurial',836183 635,Pink Flash/Action Green-Red Plum,"The Nike Kobe 11 ‘Mambacurial’ sneaker features a breathable woven Flyknit fabrication and a gradient color scheme. Originally seen on the Kobe 8, the Pink Flash and Action Green combination quickly became one of the most coveted Kobe colorways, a nod to the Mercurial soccer boot that inspired the design. In this minimal low-top iteration, an oversized ‘NIKE’ logo decorates the medial side, with a mountain-like translucent Action Green overlay accenting the midsole.",https://www.goat.com/sneakers/kobe-11-what-the-mambacurial-836183-635
